2024-10-19 11:32:02 - INFO - ep: 82/500, t: 35.407, train_loss: 1009.0523, batch_loss: 1516.5795, IC: 68.6685, EQ: 132.8134, BC_G: 517.0104, BC_P: 107.7565, T_f: 0.0222, T_Pres: 699.6899
2024-10-19 11:32:37 - INFO - ep: 83/500, t: 35.347, train_loss: 1049.2658, batch_loss: 950.1056, IC: 85.1797, EQ: 134.7367, BC_G: 370.1640, BC_P: 168.1184, T_f: 0.0107, T_Pres: 490.0728
2024-10-19 11:33:12 - INFO - ep: 84/500, t: 35.360, train_loss: 1042.5663, batch_loss: 930.9321, IC: 79.3489, EQ: 142.3331, BC_G: 860.9741, BC_P: 137.4644, T_f: 0.0130, T_Pres: 416.1587
2024-10-19 11:33:48 - INFO - ep: 85/500, t: 35.331, train_loss: 1285.4076, batch_loss: 1336.6073, IC: 35.7853, EQ: 105.2062, BC_G: 1102.3146, BC_P: 93.3012, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:34:23 - INFO - ep: 86/500, t: 35.401, train_loss: 1186.3634, batch_loss: 1124.4243, IC: 66.7793, EQ: 126.7163, BC_G: 1011.0302, BC_P: 342.5770, T_f: 0.0166, T_Pres: 514.1035
2024-10-19 11:34:59 - INFO - ep: 87/500, t: 35.457, train_loss: 1077.6490, batch_loss: 674.0331, IC: 27.4312, EQ: 78.0018, BC_G: 442.3734, BC_P: 126.2268, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:35:34 - INFO - ep: 88/500, t: 35.608, train_loss: 1214.2298, batch_loss: 805.3487, IC: 50.2571, EQ: 93.4646, BC_G: 482.0723, BC_P: 179.5548, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:36:10 - INFO - ep: 89/500, t: 35.460, train_loss: 1126.1595, batch_loss: 553.6390, IC: 31.1637, EQ: 72.2828, BC_G: 398.6452, BC_P: 51.5473, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:36:45 - INFO - ep: 90/500, t: 35.476, train_loss: 1295.5449, batch_loss: 964.0450, IC: 39.0069, EQ: 97.9751, BC_G: 646.8647, BC_P: 180.1984, T_f: 0.0000, T_Pres: 0.0000
2024-10-19 11:37:20 - INFO - ep: 91/500, t: 35.336, train_loss: 1179.2403, batch_loss: 1517.7437, IC: 88.4957, EQ: 160.3696, BC_G: 384.2528, BC_P: 113.9561, T_f: 0.0180, T_Pres: 1050.0796
